02/25/06 - Trash Bar - 256 Grand St - Brooklyn, NY

03/03/06 - Arthouse - 7 Sandford St - New Brunswick, NJ

03/25/06 - Rutgers Gardens - 124 Ryders Lane - New Brunswick, NJ

04/09/06 - Maxwell's - 1039 Washington St - Hoboken, NJ

04/20/06 - Sparks - 72 Easton Ave - New Brunswick, NJ

06/21/06 - The Wetlands - 157 E. Rosemary St - Chapel Hill, NC

07/01/06 - Hard Bean Underground - 600 S. Penn Ave - West Reading, PA

07/02/06 - The Parlor - Hamilton St - New Brunswick, NJ

07/16/06 - Knitting Factory (Old Office) - 74 Leonard St - New York, NY

07/21/06 - Bull City Records - 1916 Perry St - Durham, NC

07/22/06 - Relative Theory Records - 271 Granby St - Norfolk, VA

07/29/06 - The Saint - 601 Main St - Asbury Park, NJ

08/09/06 - The Trash Bar - 256 Grand St - Brooklyn, NY

08/17/06 - The Parlor - Hamilton St - New Brunswick, NJ

08/19/06 - The Firehouse - 108 West Main St - North Manchester, IN

08/22/06 - Valhalla House - 238 E. Chambers St - Milwaukee, WI

08/23/06 - Screamer House - 84 McMillen Ave - Columbus, OH

08/24/06 - The Fowl Woodrobber - 218 S. Jefferson St - Bloomington, IN

08/25/06 - The Wetlands - 157 E. Rosemary St - Chapel Hill, NC

08/26/06 - Relative Theory Records - 271 Granby St - Norfolk, VA

08/31/06 - Lit Lounge - 92 Second Ave - New York, NY

09/03/06 - Iselin Block Party - 21 Trenton St - Iselin, NJ

09/09/06 - The Parlor - Hamilton St - New Brunswick, NJ

10/07/06 - The Parlor - Hamilton St - New Brunswick, NJ

10/14/06 - The Trash Bar - 256 Grand St - Brooklyn, NY

10/25/06 - Asbury Lanes - 209 4th Ave - Asbury Park, NJ

10/27/06 - This Town Needs A Parade - Brower Commons College Ave - New Brunswick, NJ

10/28/06 - Eisenhower Loft - 458 Johnson Ave - Brooklyn, NY

11/04/06 - The Rotunda - 4014 Walnut St - Philadelphia, PA

11/05/06 - The Parlor - Hamilton St - New Brunswick, NJ

11/07/06 - The Delancey - 168 Delancey St - New York, NY

11/14/06 - Lions Den - 214 Sullivan St - New York, NY

12/02/06 - World Trade Slayer - 42 Comstock - New Brunswick, NJ

12/03/06 - Siren Records - 22 S. Main St - Doylestown, PA

12/09/06 - The Parlor - Hamilton St - New Brunswick, NJ

12/17/06 - The Parlor - Hamilton St - New Brunswick, NJ

01/03/07 - Be Happy House - 4078 Spring Garden St - Philadelphia, PA

01/05/07 - Wallride Manor - 810 Littlestown Pike - Westminster, MD

01/07/07 - Nightlight - 405 1/2 West Rosemary St - Chapel Hill, NC

01/08/07 - The Wreck Center - 517 Highway 34 - Greenwood, SC

